Lysipatha is a genus of moth in the family Gelechiidae . || SUBJECT: Lysipatha || PREDICATE: parent taxon || OBJECT: Gelechiidae 
The Lusthaus is a historic building in Prater park in the Leopoldstadt district of Vienna , Austria . It is located at the southeastern end of Prater Avenue , near the Freudenau racecourse .   First mentioned in 1560 as Casa Verde , the green summer house served as a hunting lodge in Vienna 's Prater , which was then a hunting ground . It was built in 1538 , at the location where Prater Avenue met the Danube Canal . The Lusthaus was on the water until 1834 , when the Danube Canal was moved .   After the Prater was opened to the public in 1766 , the summer house was rebuilt from 1781 to 1783 . It served as the location for large celebrations and festivities , such as the imperial celebrations to mark the first anniversary of the Battle of Leipzig , in which Napoleon was defeated .   In the 19th century , the Lusthaus , as well as the entire Prater , was a popular meeting place for the nobility and bourgeoisie . During the First World War , the military bridge guard tasked with protecting the Danube bridge from sabotage was stationed in the summer house . In the inter-war period marked by economic instability and poverty , the composition of its patrons shifted ; the Lusthaus then served as a bar with dance and music . During the Second World War , the Lusthaus was almost completely destroyed by bombings in 1944 and 1945 . However , by 1948 , a decision was taken to rebuild the building , and the city of Vienna earmarked a sum of 350,000 shillings for its repair . During reconstruction , the building was restored to its 18th century shape . In October 1949 , the Lusthaus was reopened .   Today , the Lusthaus houses a coffeehouse and a restaurant . || SUBJECT: Lusthaus || PREDICATE: located in the administrative territorial entity || OBJECT: Vienna 
The Lusthaus is a historic building in Prater park in the Leopoldstadt district of Vienna , Austria . It is located at the southeastern end of Prater Avenue , near the Freudenau racecourse .   First mentioned in 1560 as Casa Verde , the green summer house served as a hunting lodge in Vienna 's Prater , which was then a hunting ground . It was built in 1538 , at the location where Prater Avenue met the Danube Canal . The Lusthaus was on the water until 1834 , when the Danube Canal was moved .   After the Prater was opened to the public in 1766 , the summer house was rebuilt from 1781 to 1783 . It served as the location for large celebrations and festivities , such as the imperial celebrations to mark the first anniversary of the Battle of Leipzig , in which Napoleon was defeated .   In the 19th century , the Lusthaus , as well as the entire Prater , was a popular meeting place for the nobility and bourgeoisie . During the First World War , the military bridge guard tasked with protecting the Danube bridge from sabotage was stationed in the summer house . In the inter-war period marked by economic instability and poverty , the composition of its patrons shifted ; the Lusthaus then served as a bar with dance and music . During the Second World War , the Lusthaus was almost completely destroyed by bombings in 1944 and 1945 . However , by 1948 , a decision was taken to rebuild the building , and the city of Vienna earmarked a sum of 350,000 shillings for its repair . During reconstruction , the building was restored to its 18th century shape . In October 1949 , the Lusthaus was reopened .   Today , the Lusthaus houses a coffeehouse and a restaurant . || SUBJECT: Lusthaus || PREDICATE: located in the administrative territorial entity || OBJECT: Vienna 
The Lusthaus is a historic building in Prater park in the Leopoldstadt district of Vienna , Austria . It is located at the southeastern end of Prater Avenue , near the Freudenau racecourse .   First mentioned in 1560 as Casa Verde , the green summer house served as a hunting lodge in Vienna 's Prater , which was then a hunting ground . It was built in 1538 , at the location where Prater Avenue met the Danube Canal . The Lusthaus was on the water until 1834 , when the Danube Canal was moved .   After the Prater was opened to the public in 1766 , the summer house was rebuilt from 1781 to 1783 . It served as the location for large celebrations and festivities , such as the imperial celebrations to mark the first anniversary of the Battle of Leipzig , in which Napoleon was defeated .   In the 19th century , the Lusthaus , as well as the entire Prater , was a popular meeting place for the nobility and bourgeoisie . During the First World War , the military bridge guard tasked with protecting the Danube bridge from sabotage was stationed in the summer house . In the inter-war period marked by economic instability and poverty , the composition of its patrons shifted ; the Lusthaus then served as a bar with dance and music . During the Second World War , the Lusthaus was almost completely destroyed by bombings in 1944 and 1945 . However , by 1948 , a decision was taken to rebuild the building , and the city of Vienna earmarked a sum of 350,000 shillings for its repair . During reconstruction , the building was restored to its 18th century shape . In October 1949 , the Lusthaus was reopened .   Today , the Lusthaus houses a coffeehouse and a restaurant . || SUBJECT: Lusthaus || PREDICATE: located in the administrative territorial entity || OBJECT: Vienna 
The Lusthaus is a historic building in Prater park in the Leopoldstadt district of Vienna , Austria . It is located at the southeastern end of Prater Avenue , near the Freudenau racecourse .   First mentioned in 1560 as Casa Verde , the green summer house served as a hunting lodge in Vienna 's Prater , which was then a hunting ground . It was built in 1538 , at the location where Prater Avenue met the Danube Canal . The Lusthaus was on the water until 1834 , when the Danube Canal was moved .   After the Prater was opened to the public in 1766 , the summer house was rebuilt from 1781 to 1783 . It served as the location for large celebrations and festivities , such as the imperial celebrations to mark the first anniversary of the Battle of Leipzig , in which Napoleon was defeated .   In the 19th century , the Lusthaus , as well as the entire Prater , was a popular meeting place for the nobility and bourgeoisie . During the First World War , the military bridge guard tasked with protecting the Danube bridge from sabotage was stationed in the summer house . In the inter-war period marked by economic instability and poverty , the composition of its patrons shifted ; the Lusthaus then served as a bar with dance and music . During the Second World War , the Lusthaus was almost completely destroyed by bombings in 1944 and 1945 . However , by 1948 , a decision was taken to rebuild the building , and the city of Vienna earmarked a sum of 350,000 shillings for its repair . During reconstruction , the building was restored to its 18th century shape . In October 1949 , the Lusthaus was reopened .   Today , the Lusthaus houses a coffeehouse and a restaurant . || SUBJECT: Lusthaus || PREDICATE: located in the administrative territorial entity || OBJECT: Vienna 
In robotics a manipulator is a device used to manipulate materials without direct contact . The applications were originally for dealing with radioactive or biohazardous materials , using robotic arms , or they were used in inaccessible places . In more recent developments they have been used in diverse range of applications including welding automation , robotically-assisted surgery and in space . It is an arm-like mechanism that consists of a series of segments , usually sliding or jointed called cross-slides , which grasp and move objects with a number of degrees of freedom .   In industrial ergonomics a manipulator is a lift assist device used to help workers lift , maneuver and place articles in process that are too heavy , too hot , too large or otherwise too difficult for a single worker to manually handle . As opposed to simply vertical lift assists ( cranes , hoists , etc. ) manipulators have the ability to reach in to tight spaces and remove workpieces . A good example would be removing large stamped parts from a press and placing them in a rack or similar dunnage . In welding , a column boom manipulator is used to increase deposition rates , reduce human error and other costs in a manufacturing setting .   Additionally , manipulator tooling gives the lift assist the ability to pitch , roll , or spin the part for appropriate placement . An example would be removing a part from a press in the horizontal and then pitching it up for vertical placement in a rack or rolling a part over for exposing the back of the part . || SUBJECT: robotic arm || PREDICATE: subclass of || OBJECT: robotics 
Asakaze is a cargo vessel , registered in Panama City . The container ship delivers cargo around the Asia-Pacific area , including China , South Korea and Vietnam . || SUBJECT: China || PREDICATE: continent || OBJECT: Asia-Pacific 
Asakaze is a cargo vessel , registered in Panama City . The container ship delivers cargo around the Asia-Pacific area , including China , South Korea and Vietnam . || SUBJECT: South Korea || PREDICATE: continent || OBJECT: Asia-Pacific 
Asakaze is a cargo vessel , registered in Panama City . The container ship delivers cargo around the Asia-Pacific area , including China , South Korea and Vietnam . || SUBJECT: Vietnam || PREDICATE: continent || OBJECT: Asia-Pacific 
The third season of the reality television series Love & Hip Hop : Hollywood aired on VH1 from August 15 , 2016 until November 14 , 2016 . It was primarily filmed in Los Angeles , California . It is executively produced by Mona Scott-Young and Stephanie Gayle for Monami Entertainment , Toby Barraud , Stefan Springman , Mala Chapple , David DiGangi , Michael Lang and Gilda Brasch for Eastern TV , and Nina L. Diaz and Vivian Gomez for VH1 .   The series chronicles the lives of several women and men in the Hollywood area , involved in hip hop music . It consists of 14 episodes , including a two-part reunion special , hosted by Nina Parker . || SUBJECT: Love & Hip Hop: Hollywood || PREDICATE: genre || OBJECT: reality television 
The third season of the reality television series Love & Hip Hop : Hollywood aired on VH1 from August 15 , 2016 until November 14 , 2016 . It was primarily filmed in Los Angeles , California . It is executively produced by Mona Scott-Young and Stephanie Gayle for Monami Entertainment , Toby Barraud , Stefan Springman , Mala Chapple , David DiGangi , Michael Lang and Gilda Brasch for Eastern TV , and Nina L. Diaz and Vivian Gomez for VH1 .   The series chronicles the lives of several women and men in the Hollywood area , involved in hip hop music . It consists of 14 episodes , including a two-part reunion special , hosted by Nina Parker . || SUBJECT: Love & Hip Hop: Hollywood || PREDICATE: original broadcaster || OBJECT: VH1 
The third season of the reality television series Love & Hip Hop : Hollywood aired on VH1 from August 15 , 2016 until November 14 , 2016 . It was primarily filmed in Los Angeles , California . It is executively produced by Mona Scott-Young and Stephanie Gayle for Monami Entertainment , Toby Barraud , Stefan Springman , Mala Chapple , David DiGangi , Michael Lang and Gilda Brasch for Eastern TV , and Nina L. Diaz and Vivian Gomez for VH1 .   The series chronicles the lives of several women and men in the Hollywood area , involved in hip hop music . It consists of 14 episodes , including a two-part reunion special , hosted by Nina Parker . || SUBJECT: Love & Hip Hop: Hollywood || PREDICATE: start time || OBJECT: August 15, 2016 
The third season of the reality television series Love & Hip Hop : Hollywood aired on VH1 from August 15 , 2016 until November 14 , 2016 . It was primarily filmed in Los Angeles , California . It is executively produced by Mona Scott-Young and Stephanie Gayle for Monami Entertainment , Toby Barraud , Stefan Springman , Mala Chapple , David DiGangi , Michael Lang and Gilda Brasch for Eastern TV , and Nina L. Diaz and Vivian Gomez for VH1 .   The series chronicles the lives of several women and men in the Hollywood area , involved in hip hop music . It consists of 14 episodes , including a two-part reunion special , hosted by Nina Parker . || SUBJECT: Love & Hip Hop: Hollywood || PREDICATE: end time || OBJECT: November 14, 2016 
Madrasah Al-Arabiah Al-Islamiah is a full-time co-educational madrasah offering secondary school education in : Singapore . Madrasah is an Arabic word that means `` school '' but in the present context a madrasah means an Islamic religious school .   Like the five other full-time madrasahs in Singapore ( Aljunied Al-Islamiah , Alsagoff Al-Arabiah , Al-Arabiah Al-Islamiah , Al-Maarif Al-Islamiah and Madrasah Wak Tanjong Al-Islamiah ) , Arabiah is a private school which offers students an education comprising both ukhrawi ( Islamic religious ) subjects such as Arabic and Revelation studies , as well as duniawi ( secular ) subjects like English , Mathematics and Science . Arabiah 's students take both secular and ukhrawi national exams . Many of its graduates move on to further their studies in Islamic Universities overseas and return to become asatizahs ( religious teachers ) , while others attend the local polytechnics and universities . The school is currently operating at its campus at Lorong 6 Toa Payoh . || SUBJECT: Madrasah Al-Arabiah Al-Islamiah || PREDICATE: country || OBJECT: Singapore 
Madrasah Al-Arabiah Al-Islamiah is a full-time co-educational madrasah offering secondary school education in : Singapore . Madrasah is an Arabic word that means `` school '' but in the present context a madrasah means an Islamic religious school .   Like the five other full-time madrasahs in Singapore ( Aljunied Al-Islamiah , Alsagoff Al-Arabiah , Al-Arabiah Al-Islamiah , Al-Maarif Al-Islamiah and Madrasah Wak Tanjong Al-Islamiah ) , Arabiah is a private school which offers students an education comprising both ukhrawi ( Islamic religious ) subjects such as Arabic and Revelation studies , as well as duniawi ( secular ) subjects like English , Mathematics and Science . Arabiah 's students take both secular and ukhrawi national exams . Many of its graduates move on to further their studies in Islamic Universities overseas and return to become asatizahs ( religious teachers ) , while others attend the local polytechnics and universities . The school is currently operating at its campus at Lorong 6 Toa Payoh . || SUBJECT: Aljunied Al-Islamiah || PREDICATE: country || OBJECT: Singapore 
Madrasah Al-Arabiah Al-Islamiah is a full-time co-educational madrasah offering secondary school education in : Singapore . Madrasah is an Arabic word that means `` school '' but in the present context a madrasah means an Islamic religious school .   Like the five other full-time madrasahs in Singapore ( Aljunied Al-Islamiah , Alsagoff Al-Arabiah , Al-Arabiah Al-Islamiah , Al-Maarif Al-Islamiah and Madrasah Wak Tanjong Al-Islamiah ) , Arabiah is a private school which offers students an education comprising both ukhrawi ( Islamic religious ) subjects such as Arabic and Revelation studies , as well as duniawi ( secular ) subjects like English , Mathematics and Science . Arabiah 's students take both secular and ukhrawi national exams . Many of its graduates move on to further their studies in Islamic Universities overseas and return to become asatizahs ( religious teachers ) , while others attend the local polytechnics and universities . The school is currently operating at its campus at Lorong 6 Toa Payoh . || SUBJECT: Alsagoff Al-Arabiah || PREDICATE: country || OBJECT: Singapore 
Madrasah Al-Arabiah Al-Islamiah is a full-time co-educational madrasah offering secondary school education in : Singapore . Madrasah is an Arabic word that means `` school '' but in the present context a madrasah means an Islamic religious school .   Like the five other full-time madrasahs in Singapore ( Aljunied Al-Islamiah , Alsagoff Al-Arabiah , Al-Arabiah Al-Islamiah , Al-Maarif Al-Islamiah and Madrasah Wak Tanjong Al-Islamiah ) , Arabiah is a private school which offers students an education comprising both ukhrawi ( Islamic religious ) subjects such as Arabic and Revelation studies , as well as duniawi ( secular ) subjects like English , Mathematics and Science . Arabiah 's students take both secular and ukhrawi national exams . Many of its graduates move on to further their studies in Islamic Universities overseas and return to become asatizahs ( religious teachers ) , while others attend the local polytechnics and universities . The school is currently operating at its campus at Lorong 6 Toa Payoh . || SUBJECT: Al-Arabiah Al-Islamiah || PREDICATE: country || OBJECT: Singapore 
Madrasah Al-Arabiah Al-Islamiah is a full-time co-educational madrasah offering secondary school education in : Singapore . Madrasah is an Arabic word that means `` school '' but in the present context a madrasah means an Islamic religious school .   Like the five other full-time madrasahs in Singapore ( Aljunied Al-Islamiah , Alsagoff Al-Arabiah , Al-Arabiah Al-Islamiah , Al-Maarif Al-Islamiah and Madrasah Wak Tanjong Al-Islamiah ) , Arabiah is a private school which offers students an education comprising both ukhrawi ( Islamic religious ) subjects such as Arabic and Revelation studies , as well as duniawi ( secular ) subjects like English , Mathematics and Science . Arabiah 's students take both secular and ukhrawi national exams . Many of its graduates move on to further their studies in Islamic Universities overseas and return to become asatizahs ( religious teachers ) , while others attend the local polytechnics and universities . The school is currently operating at its campus at Lorong 6 Toa Payoh . || SUBJECT: Al-Maarif Al-Islamiah || PREDICATE: country || OBJECT: Singapore 
Madrasah Al-Arabiah Al-Islamiah is a full-time co-educational madrasah offering secondary school education in : Singapore . Madrasah is an Arabic word that means `` school '' but in the present context a madrasah means an Islamic religious school .   Like the five other full-time madrasahs in Singapore ( Aljunied Al-Islamiah , Alsagoff Al-Arabiah , Al-Arabiah Al-Islamiah , Al-Maarif Al-Islamiah and Madrasah Wak Tanjong Al-Islamiah ) , Arabiah is a private school which offers students an education comprising both ukhrawi ( Islamic religious ) subjects such as Arabic and Revelation studies , as well as duniawi ( secular ) subjects like English , Mathematics and Science . Arabiah 's students take both secular and ukhrawi national exams . Many of its graduates move on to further their studies in Islamic Universities overseas and return to become asatizahs ( religious teachers ) , while others attend the local polytechnics and universities . The school is currently operating at its campus at Lorong 6 Toa Payoh . || SUBJECT: Madrasah Wak Tanjong Al-Islamiah || PREDICATE: country || OBJECT: Singapore 
Louisville City School District is a public school district serving students in Louisville , Ohio , United States . Serving over 1,000 students , the district is centered on the city of Louisville and includes most of the surrounding Nimishillen Township . || SUBJECT: Louisville City School District || PREDICATE: instance of || OBJECT: school district 
Louisville City School District is a public school district serving students in Louisville , Ohio , United States . Serving over 1,000 students , the district is centered on the city of Louisville and includes most of the surrounding Nimishillen Township . || SUBJECT: Louisville City School District || PREDICATE: located in the administrative territorial entity || OBJECT: Ohio 
Louisville City School District is a public school district serving students in Louisville , Ohio , United States . Serving over 1,000 students , the district is centered on the city of Louisville and includes most of the surrounding Nimishillen Township . || SUBJECT: Louisville City School District || PREDICATE: country || OBJECT: United States 
Louisville City School District is a public school district serving students in Louisville , Ohio , United States . Serving over 1,000 students , the district is centered on the city of Louisville and includes most of the surrounding Nimishillen Township . || SUBJECT: Louisville || PREDICATE: country || OBJECT: United States 
Louisville City School District is a public school district serving students in Louisville , Ohio , United States . Serving over 1,000 students , the district is centered on the city of Louisville and includes most of the surrounding Nimishillen Township . || SUBJECT: Ohio || PREDICATE: country || OBJECT: United States 
Louisville City School District is a public school district serving students in Louisville , Ohio , United States . Serving over 1,000 students , the district is centered on the city of Louisville and includes most of the surrounding Nimishillen Township . || SUBJECT: United States || PREDICATE: contains administrative territorial entity || OBJECT: Ohio 
`` Love Is Gone '' is a song by French house DJ David Guetta and American singer Chris Willis . It is the second single from Guetta 's third studio album Pop Life . The single was released in France on June 2007 and in the UK on August 2007 . The song reached # 9 in the UK Singles Chart , becoming his second Top 10 hit . The song also received crossover airplay on top 40 radio stations in the USA , leading it to reach # 98 on the Billboard Hot 100 singles chart . The song has been remixed by co-producers Frédéric Riesterer ( as Fred Rister ) & Joachim Garraud themselves , Eddie Thoneick , Fuzzy Hair and Amo & Navas . The Fred Rister & Joachim Garraud remix was the one of the first David Guetta productions to use its guitar sound , which was later used in the songs `` I Got ta Feeling '' by The Black Eyed Peas , and `` Gettin ' Over '' , which also featured Chris Willis ( as well as the single version `` Gettin ' Over You '' with Fergie and LMFAO ) . The music video of the song features the actress , Kelly Thiebaud . || SUBJECT: Love Is Gone || PREDICATE: performer || OBJECT: David Guetta 
`` Love Is Gone '' is a song by French house DJ David Guetta and American singer Chris Willis . It is the second single from Guetta 's third studio album Pop Life . The single was released in France on June 2007 and in the UK on August 2007 . The song reached # 9 in the UK Singles Chart , becoming his second Top 10 hit . The song also received crossover airplay on top 40 radio stations in the USA , leading it to reach # 98 on the Billboard Hot 100 singles chart . The song has been remixed by co-producers Frédéric Riesterer ( as Fred Rister ) & Joachim Garraud themselves , Eddie Thoneick , Fuzzy Hair and Amo & Navas . The Fred Rister & Joachim Garraud remix was the one of the first David Guetta productions to use its guitar sound , which was later used in the songs `` I Got ta Feeling '' by The Black Eyed Peas , and `` Gettin ' Over '' , which also featured Chris Willis ( as well as the single version `` Gettin ' Over You '' with Fergie and LMFAO ) . The music video of the song features the actress , Kelly Thiebaud . || SUBJECT: Love Is Gone || PREDICATE: performer || OBJECT: Chris Willis 
`` Love Is Gone '' is a song by French house DJ David Guetta and American singer Chris Willis . It is the second single from Guetta 's third studio album Pop Life . The single was released in France on June 2007 and in the UK on August 2007 . The song reached # 9 in the UK Singles Chart , becoming his second Top 10 hit . The song also received crossover airplay on top 40 radio stations in the USA , leading it to reach # 98 on the Billboard Hot 100 singles chart . The song has been remixed by co-producers Frédéric Riesterer ( as Fred Rister ) & Joachim Garraud themselves , Eddie Thoneick , Fuzzy Hair and Amo & Navas . The Fred Rister & Joachim Garraud remix was the one of the first David Guetta productions to use its guitar sound , which was later used in the songs `` I Got ta Feeling '' by The Black Eyed Peas , and `` Gettin ' Over '' , which also featured Chris Willis ( as well as the single version `` Gettin ' Over You '' with Fergie and LMFAO ) . The music video of the song features the actress , Kelly Thiebaud . || SUBJECT: Love Is Gone || PREDICATE: part of || OBJECT: Pop Life 
`` Love Is Gone '' is a song by French house DJ David Guetta and American singer Chris Willis . It is the second single from Guetta 's third studio album Pop Life . The single was released in France on June 2007 and in the UK on August 2007 . The song reached # 9 in the UK Singles Chart , becoming his second Top 10 hit . The song also received crossover airplay on top 40 radio stations in the USA , leading it to reach # 98 on the Billboard Hot 100 singles chart . The song has been remixed by co-producers Frédéric Riesterer ( as Fred Rister ) & Joachim Garraud themselves , Eddie Thoneick , Fuzzy Hair and Amo & Navas . The Fred Rister & Joachim Garraud remix was the one of the first David Guetta productions to use its guitar sound , which was later used in the songs `` I Got ta Feeling '' by The Black Eyed Peas , and `` Gettin ' Over '' , which also featured Chris Willis ( as well as the single version `` Gettin ' Over You '' with Fergie and LMFAO ) . The music video of the song features the actress , Kelly Thiebaud . || SUBJECT: David Guetta || PREDICATE: genre || OBJECT: house 
`` Love Is Gone '' is a song by French house DJ David Guetta and American singer Chris Willis . It is the second single from Guetta 's third studio album Pop Life . The single was released in France on June 2007 and in the UK on August 2007 . The song reached # 9 in the UK Singles Chart , becoming his second Top 10 hit . The song also received crossover airplay on top 40 radio stations in the USA , leading it to reach # 98 on the Billboard Hot 100 singles chart . The song has been remixed by co-producers Frédéric Riesterer ( as Fred Rister ) & Joachim Garraud themselves , Eddie Thoneick , Fuzzy Hair and Amo & Navas . The Fred Rister & Joachim Garraud remix was the one of the first David Guetta productions to use its guitar sound , which was later used in the songs `` I Got ta Feeling '' by The Black Eyed Peas , and `` Gettin ' Over '' , which also featured Chris Willis ( as well as the single version `` Gettin ' Over You '' with Fergie and LMFAO ) . The music video of the song features the actress , Kelly Thiebaud . || SUBJECT: Pop Life || PREDICATE: performer || OBJECT: David Guetta 
`` Love Is Gone '' is a song by French house DJ David Guetta and American singer Chris Willis . It is the second single from Guetta 's third studio album Pop Life . The single was released in France on June 2007 and in the UK on August 2007 . The song reached # 9 in the UK Singles Chart , becoming his second Top 10 hit . The song also received crossover airplay on top 40 radio stations in the USA , leading it to reach # 98 on the Billboard Hot 100 singles chart . The song has been remixed by co-producers Frédéric Riesterer ( as Fred Rister ) & Joachim Garraud themselves , Eddie Thoneick , Fuzzy Hair and Amo & Navas . The Fred Rister & Joachim Garraud remix was the one of the first David Guetta productions to use its guitar sound , which was later used in the songs `` I Got ta Feeling '' by The Black Eyed Peas , and `` Gettin ' Over '' , which also featured Chris Willis ( as well as the single version `` Gettin ' Over You '' with Fergie and LMFAO ) . The music video of the song features the actress , Kelly Thiebaud . || SUBJECT: `` Gettin ' Over You || PREDICATE: performer || OBJECT: David Guetta 
