who wrote the movie Once Upon a Forest? Mark Young, Kelly Ward, Rae Lambert || SUBJECT: Once Upon a Forest || PREDICATE: screenwriter || OBJECT: Mark Young 
which films are about grandfather? The Lost Boys, Flipped, An Unfinished Life, Damage, Wide Awake || SUBJECT: Flipped || PREDICATE: followed by || OBJECT: An Unfinished Life 
which films are about grandfather? The Lost Boys, Flipped, An Unfinished Life, Damage, Wide Awake || SUBJECT: An Unfinished Life || PREDICATE: followed by || OBJECT: Damage 
which films are about grandfather? The Lost Boys, Flipped, An Unfinished Life, Damage, Wide Awake || SUBJECT: Damage || PREDICATE: followed by || OBJECT: Wide Awake 
which films are about grandfather? The Lost Boys, Flipped, An Unfinished Life, Damage, Wide Awake || SUBJECT: Wide Awake || PREDICATE: follows || OBJECT: Damage 
what movies was Iain Tibbles the writer of? Jump Tomorrow || SUBJECT: Jump Tomorrow || PREDICATE: screenwriter || OBJECT: Iain Tibbles 
what is the primary language in the film Edison? English || SUBJECT: Edison || PREDICATE: original language of film or TV show || OBJECT: English 
what is the genre of the movie Howl? Drama, Biography || SUBJECT: Howl || PREDICATE: genre || OBJECT: Drama 
what films did Richard Chevolleau star in? Rude || SUBJECT: Rude || PREDICATE: cast member || OBJECT: Richard Chevolleau 
what was the release date of Another Year? 2010 || SUBJECT: Another Year || PREDICATE: publication date || OBJECT: 2010 
how famous of a film was Pompeii? famous || SUBJECT: famous || PREDICATE: main subject || OBJECT: Pompeii 
how popular is A Simple Plan? famous || SUBJECT: A Simple Plan || PREDICATE: instance of || OBJECT: famous 
who was North Country directed by? Niki Caro || SUBJECT: North Country || PREDICATE: director || OBJECT: Niki Caro 
who acted in Lovers of the Arctic Circle? Fele Martínez, Najwa Nimri, Nancho Novo, Maru Valdivielso || SUBJECT: Lovers of the Arctic Circle || PREDICATE: cast member || OBJECT: Fele Martínez 
who acted in Lovers of the Arctic Circle? Fele Martínez, Najwa Nimri, Nancho Novo, Maru Valdivielso || SUBJECT: Lovers of the Arctic Circle || PREDICATE: cast member || OBJECT: Najwa Nimri 
who acted in Lovers of the Arctic Circle? Fele Martínez, Najwa Nimri, Nancho Novo, Maru Valdivielso || SUBJECT: Lovers of the Arctic Circle || PREDICATE: cast member || OBJECT: Nancho Novo 
who acted in Lovers of the Arctic Circle? Fele Martínez, Najwa Nimri, Nancho Novo, Maru Valdivielso || SUBJECT: Lovers of the Arctic Circle || PREDICATE: cast member || OBJECT: Maru Valdivielso 
what was the popularity rating of Our Vines Have Tender Grapes? unknown || SUBJECT: Our Vines Have Tender Grapes || PREDICATE: followed by || OBJECT: Tender Grapes 
what was the popularity rating of Our Vines Have Tender Grapes? unknown || SUBJECT: Tender Grapes || PREDICATE: follows || OBJECT: Our Vines Have Tender Grapes 
what movies are about benny chan? Who Am I?, New Police Story, Shaolin || SUBJECT: Who Am I || PREDICATE: instance of || OBJECT: films 
what movies are about benny chan? Who Am I?, New Police Story, Shaolin || SUBJECT: New Police Story || PREDICATE: instance of || OBJECT: movies 
what movies are about benny chan? Who Am I?, New Police Story, Shaolin || SUBJECT: Shaolin || PREDICATE: instance of || OBJECT: movies 
what movies did Nina Garbiras star in? Bruiser || SUBJECT: Bruiser || PREDICATE: cast member || OBJECT: Nina Garbiras 
who is the creator of the film script for Midnight Cowboy? Waldo Salt, James Leo Herlihy || SUBJECT: Midnight Cowboy || PREDICATE: screenwriter || OBJECT: Waldo Salt 
who stars in The Tomb? Michael Barbour, Victoria Ullmann, Christian Behm, Gerard Griesbaum || SUBJECT: The Tomb || PREDICATE: cast member || OBJECT: Michael Barbour 
who stars in The Tomb? Michael Barbour, Victoria Ullmann, Christian Behm, Gerard Griesbaum || SUBJECT: The Tomb || PREDICATE: cast member || OBJECT: Victoria Ullmann 
who stars in The Tomb? Michael Barbour, Victoria Ullmann, Christian Behm, Gerard Griesbaum || SUBJECT: The Tomb || PREDICATE: cast member || OBJECT: Christian Behm 
who stars in The Tomb? Michael Barbour, Victoria Ullmann, Christian Behm, Gerard Griesbaum || SUBJECT: The Tomb || PREDICATE: cast member || OBJECT: Gerard Griesbaum 
what is the language spoken in the film Beyond Hypothermia? Cantonese, Korean || SUBJECT: Beyond Hypothermia || PREDICATE: language of work or name || OBJECT: Cantonese 
who acted in Bastards? Chiara Mastroianni, Vincent Lindon, Michel Subor, Julie Bataille || SUBJECT: Bastards || PREDICATE: cast member || OBJECT: Chiara Mastroianni 
who acted in Bastards? Chiara Mastroianni, Vincent Lindon, Michel Subor, Julie Bataille || SUBJECT: Bastards || PREDICATE: cast member || OBJECT: Vincent Lindon 
who acted in Bastards? Chiara Mastroianni, Vincent Lindon, Michel Subor, Julie Bataille || SUBJECT: Bastards || PREDICATE: cast member || OBJECT: Michel Subor 
who acted in Bastards? Chiara Mastroianni, Vincent Lindon, Michel Subor, Julie Bataille || SUBJECT: Bastards || PREDICATE: cast member || OBJECT: Julie Bataille 
who starred in Foolproof? Ryan Reynolds, Kristin Booth, Sean Sullivan, Joris Jarsky || SUBJECT: Foolproof || PREDICATE: cast member || OBJECT: Ryan Reynolds 
who starred in Foolproof? Ryan Reynolds, Kristin Booth, Sean Sullivan, Joris Jarsky || SUBJECT: Foolproof || PREDICATE: cast member || OBJECT: Kristin Booth 
who starred in Foolproof? Ryan Reynolds, Kristin Booth, Sean Sullivan, Joris Jarsky || SUBJECT: Foolproof || PREDICATE: cast member || OBJECT: Sean Sullivan 
who starred in Foolproof? Ryan Reynolds, Kristin Booth, Sean Sullivan, Joris Jarsky || SUBJECT: Foolproof || PREDICATE: cast member || OBJECT: Joris Jarsky 
what is popular opinion about Variety Lights? good || SUBJECT: Variety Lights || PREDICATE: instance of || OBJECT: popular opinion 
what language is the movie Hexed in? English || SUBJECT: Hexed || PREDICATE: original language of film or TV show || OBJECT: English 
what movies did Oscar Apfel write? The Squaw Man || SUBJECT: The Squaw Man || PREDICATE: screenwriter || OBJECT: Oscar Apfel 
what movies was Kelby Johnson an actor in? Bully || SUBJECT: Bully || PREDICATE: cast member || OBJECT: Kelby Johnson 
what is the genre for the film Medea? Drama, Fantasy || SUBJECT: Medea || PREDICATE: instance of || OBJECT: genre 
what is the genre for the film Medea? Drama, Fantasy || SUBJECT: Drama || PREDICATE: instance of || OBJECT: genre 
what is the genre for the film Medea? Drama, Fantasy || SUBJECT: Fantasy || PREDICATE: instance of || OBJECT: genre 
what sort of film is Abbott and Costello Go to Mars? Comedy, Sci-Fi, Fantasy || SUBJECT: Abbott and Costello Go to Mars || PREDICATE: genre || OBJECT: Comedy 
who is the writer of the film Shadow of Angels? Rainer Werner Fassbinder, Daniel Schmid || SUBJECT: Shadow of Angels || PREDICATE: screenwriter || OBJECT: Rainer Werner Fassbinder 
what was the genre of the movie Pawn? Thriller, Crime, Mystery || SUBJECT: Thriller || PREDICATE: instance of || OBJECT: genre 
what was the genre of the movie Pawn? Thriller, Crime, Mystery || SUBJECT: Crime || PREDICATE: instance of || OBJECT: genre 
what was the genre of the movie Pawn? Thriller, Crime, Mystery || SUBJECT: Mystery || PREDICATE: instance of || OBJECT: genre 
what movie did Hunter Weeks write the story for? 10 MPH || SUBJECT: 10 MPH || PREDICATE: screenwriter || OBJECT: Hunter Weeks 
which person directed Christmas Evil? Lewis Jackson || SUBJECT: Christmas Evil || PREDICATE: director || OBJECT: Lewis Jackson 
what is the main language in Vigilante? English || SUBJECT: Vigilante || PREDICATE: language used || OBJECT: English 
what is the genre of the movie White Heat? Drama, Crime, Film-Noir || SUBJECT: White Heat || PREDICATE: genre || OBJECT: Film-Noir 
which films did Curt Siodmak direct? The Magnetic Monster || SUBJECT: The Magnetic Monster || PREDICATE: director || OBJECT: Curt Siodmak 
what films did Tsutomu Takahashi act in? Sadako 3D || SUBJECT: Sadako 3D || PREDICATE: cast member || OBJECT: Tsutomu Takahashi 
how popular is Spasmo? unknown || SUBJECT: Spasmo || PREDICATE: instance of || OBJECT: unknown 
what did audiences think of Larry Crowne? okay || SUBJECT: Larry Crowne || PREDICATE: work period (start) || OBJECT: 1979 
what films did John Salthouse star in? Abigail || SUBJECT: Abigail || PREDICATE: cast member || OBJECT: John Salthouse 
what is the genre for the movie Peyton Place? Drama, Romance || SUBJECT: Peyton Place || PREDICATE: instance of || OBJECT: genre 
what is the genre for the movie Peyton Place? Drama, Romance || SUBJECT: Drama || PREDICATE: instance of || OBJECT: genre 
what is the genre for the movie Peyton Place? Drama, Romance || SUBJECT: Romance || PREDICATE: instance of || OBJECT: genre 
what does Stéphanie Michelini appear in? Wild Side || SUBJECT: Wild Side || PREDICATE: cast member || OBJECT: Stéphanie Michelini 
the director of The Violent Kind was? Phil Flores, Mitchell Altieri || SUBJECT: The Violent Kind || PREDICATE: director || OBJECT: Phil Flores 
who is the director for True Lies? James Cameron || SUBJECT: True Lies || PREDICATE: director || OBJECT: James Cameron 
what was the popularity rating of Deathtrap? highly watched || SUBJECT: Deathtrap || PREDICATE: performer || OBJECT: Deathtrap 
the director of Caddyshack was who? Harold Ramis || SUBJECT: Caddyshack || PREDICATE: director || OBJECT: Harold Ramis 
what movies can be described by no depth? The Avengers, Avatar, Drive, The Mechanic, Max Payne || SUBJECT: The Mechanic || PREDICATE: cast member || OBJECT: Max Payne 
what films can be described by corrupt government? Green Zone, City of Ember || SUBJECT: Green Zone || PREDICATE: located in the administrative territorial entity || OBJECT: City of Ember 
Judy Garland appears in which movies? The Wizard of Oz, Meet Me in St. Louis, A Star Is Born, Easter Parade, The Pirate, Summer Stock, In the Good Old Summertime, The Harvey Girls, For Me and My Gal, The Clock, A Child Is Waiting, Babes in Arms, That || SUBJECT: The Wizard of Oz || PREDICATE: cast member || OBJECT: Judy Garland 
Judy Garland appears in which movies? The Wizard of Oz, Meet Me in St. Louis, A Star Is Born, Easter Parade, The Pirate, Summer Stock, In the Good Old Summertime, The Harvey Girls, For Me and My Gal, The Clock, A Child Is Waiting, Babes in Arms, That || SUBJECT: Meet Me in St. Louis || PREDICATE: cast member || OBJECT: Judy Garland 
Judy Garland appears in which movies? The Wizard of Oz, Meet Me in St. Louis, A Star Is Born, Easter Parade, The Pirate, Summer Stock, In the Good Old Summertime, The Harvey Girls, For Me and My Gal, The Clock, A Child Is Waiting, Babes in Arms, That || SUBJECT: A Star Is Born || PREDICATE: cast member || OBJECT: Judy Garland 
Judy Garland appears in which movies? The Wizard of Oz, Meet Me in St. Louis, A Star Is Born, Easter Parade, The Pirate, Summer Stock, In the Good Old Summertime, The Harvey Girls, For Me and My Gal, The Clock, A Child Is Waiting, Babes in Arms, That || SUBJECT: Easter Parade || PREDICATE: cast member || OBJECT: Judy Garland 
Judy Garland appears in which movies? The Wizard of Oz, Meet Me in St. Louis, A Star Is Born, Easter Parade, The Pirate, Summer Stock, In the Good Old Summertime, The Harvey Girls, For Me and My Gal, The Clock, A Child Is Waiting, Babes in Arms, That || SUBJECT: The Pirate || PREDICATE: cast member || OBJECT: Judy Garland 
Judy Garland appears in which movies? The Wizard of Oz, Meet Me in St. Louis, A Star Is Born, Easter Parade, The Pirate, Summer Stock, In the Good Old Summertime, The Harvey Girls, For Me and My Gal, The Clock, A Child Is Waiting, Babes in Arms, That || SUBJECT: Summer Stock || PREDICATE: cast member || OBJECT: Judy Garland 
Judy Garland appears in which movies? The Wizard of Oz, Meet Me in St. Louis, A Star Is Born, Easter Parade, The Pirate, Summer Stock, In the Good Old Summertime, The Harvey Girls, For Me and My Gal, The Clock, A Child Is Waiting, Babes in Arms, That || SUBJECT: In the Good Old Summertime || PREDICATE: cast member || OBJECT: Judy Garland 
Judy Garland appears in which movies? The Wizard of Oz, Meet Me in St. Louis, A Star Is Born, Easter Parade, The Pirate, Summer Stock, In the Good Old Summertime, The Harvey Girls, For Me and My Gal, The Clock, A Child Is Waiting, Babes in Arms, That || SUBJECT: The Harvey Girls || PREDICATE: cast member || OBJECT: Judy Garland 
Judy Garland appears in which movies? The Wizard of Oz, Meet Me in St. Louis, A Star Is Born, Easter Parade, The Pirate, Summer Stock, In the Good Old Summertime, The Harvey Girls, For Me and My Gal, The Clock, A Child Is Waiting, Babes in Arms, That || SUBJECT: For Me and My Gal || PREDICATE: cast member || OBJECT: Judy Garland 
who is the director of My Way? Florent-Emilio Siri || SUBJECT: My Way || PREDICATE: director || OBJECT: Florent-Emilio Siri 
what movies did Katheryn Winnick star in? Satan || SUBJECT: Satan || PREDICATE: cast member || OBJECT: Katheryn Winnick 
what was the release year of Virginia? 2010 || SUBJECT: Virginia || PREDICATE: publication date || OBJECT: 2010 
what movies did Laura Antonelli star in? Passion of Love || SUBJECT: Passion of Love || PREDICATE: cast member || OBJECT: Laura Antonelli 
what films did Guy Stockwell act in? Santa Sangre, Tobruk || SUBJECT: Santa Sangre || PREDICATE: cast member || OBJECT: Guy Stockwell 
what films did Guy Stockwell act in? Santa Sangre, Tobruk || SUBJECT: Tobruk || PREDICATE: cast member || OBJECT: Guy Stockwell 
what film did Tarik Saleh write? Metropia || SUBJECT: Metropia || PREDICATE: screenwriter || OBJECT: Tarik Saleh 
what genre does Turn the River fall under? Drama || SUBJECT: Turn the River || PREDICATE: genre || OBJECT: Drama 
how famous of a film was War Horse? famous || SUBJECT: War Horse || PREDICATE: instance of || OBJECT: famous 
who starred in The Last Song? Greg Kinnear, Liam Hemsworth, Miley Cyrus, Bobby Coleman || SUBJECT: The Last Song || PREDICATE: cast member || OBJECT: Greg Kinnear 
who starred in The Last Song? Greg Kinnear, Liam Hemsworth, Miley Cyrus, Bobby Coleman || SUBJECT: The Last Song || PREDICATE: cast member || OBJECT: Liam Hemsworth 
who starred in The Last Song? Greg Kinnear, Liam Hemsworth, Miley Cyrus, Bobby Coleman || SUBJECT: The Last Song || PREDICATE: cast member || OBJECT: Miley Cyrus 
who starred in The Last Song? Greg Kinnear, Liam Hemsworth, Miley Cyrus, Bobby Coleman || SUBJECT: The Last Song || PREDICATE: cast member || OBJECT: Bobby Coleman 
Alain Gagnol was the director on which movies? A Cat in Paris || SUBJECT: A Cat in Paris || PREDICATE: director || OBJECT: Alain Gagnol 
how famous was The Heart Is Deceitful Above All Things? highly watched || SUBJECT: The Heart Is Deceitful Above All Things? || PREDICATE: main subject || OBJECT: The Heart Is Deceitful Above All Things 
who is the writer of 7 Women? Janet Green, John McCormick, Norah Lofts || SUBJECT: 7 Women || PREDICATE: author || OBJECT: Janet Green 
what does Sylvia Kuumba Williams appear in? Obsession || SUBJECT: Obsession || PREDICATE: cast member || OBJECT: Sylvia Kuumba Williams 
what is the language spoken in the movie Window to Paris? French, Russian || SUBJECT: Window to Paris || PREDICATE: original language of film or TV show || OBJECT: French 
Irène Jacob appears in which movies? Othello, Beyond the Clouds, Incognito, My Life So Far, The Dust of Time, Rio Sex Comedy, Victory || SUBJECT: Othello || PREDICATE: cast member || OBJECT: Irène Jacob 
Irène Jacob appears in which movies? Othello, Beyond the Clouds, Incognito, My Life So Far, The Dust of Time, Rio Sex Comedy, Victory || SUBJECT: Beyond the Clouds || PREDICATE: cast member || OBJECT: Irène Jacob 
Irène Jacob appears in which movies? Othello, Beyond the Clouds, Incognito, My Life So Far, The Dust of Time, Rio Sex Comedy, Victory || SUBJECT: Incognito || PREDICATE: cast member || OBJECT: Irène Jacob 
Irène Jacob appears in which movies? Othello, Beyond the Clouds, Incognito, My Life So Far, The Dust of Time, Rio Sex Comedy, Victory || SUBJECT: My Life So Far || PREDICATE: cast member || OBJECT: Irène Jacob 
Irène Jacob appears in which movies? Othello, Beyond the Clouds, Incognito, My Life So Far, The Dust of Time, Rio Sex Comedy, Victory || SUBJECT: The Dust of Time || PREDICATE: cast member || OBJECT: Irène Jacob 
Irène Jacob appears in which movies? Othello, Beyond the Clouds, Incognito, My Life So Far, The Dust of Time, Rio Sex Comedy, Victory || SUBJECT: Rio Sex Comedy || PREDICATE: cast member || OBJECT: Irène Jacob 
Irène Jacob appears in which movies? Othello, Beyond the Clouds, Incognito, My Life So Far, The Dust of Time, Rio Sex Comedy, Victory || SUBJECT: Victory || PREDICATE: cast member || OBJECT: Irène Jacob 
how popular of a movie was Beyond the Forest? well known || SUBJECT: Beyond the Forest || PREDICATE: instance of || OBJECT: movie 
which movie was Michael Hofmann the director for? Eden || SUBJECT: Eden || PREDICATE: director || OBJECT: Michael Hofmann 
Domenico Paolella directed which films? Gardenia || SUBJECT: Gardenia || PREDICATE: director || OBJECT: Domenico Paolella 
who stars in The Manchurian Candidate? Janet Leigh, Angela Lansbury, Frank Sinatra, Laurence Harvey || SUBJECT: The Manchurian Candidate || PREDICATE: cast member || OBJECT: Janet Leigh 
who stars in The Manchurian Candidate? Janet Leigh, Angela Lansbury, Frank Sinatra, Laurence Harvey || SUBJECT: The Manchurian Candidate || PREDICATE: cast member || OBJECT: Angela Lansbury 
who stars in The Manchurian Candidate? Janet Leigh, Angela Lansbury, Frank Sinatra, Laurence Harvey || SUBJECT: The Manchurian Candidate || PREDICATE: cast member || OBJECT: Frank Sinatra 
who stars in The Manchurian Candidate? Janet Leigh, Angela Lansbury, Frank Sinatra, Laurence Harvey || SUBJECT: The Manchurian Candidate || PREDICATE: cast member || OBJECT: Laurence Harvey 
what kind of film is For the Love of Benji? Drama, Comedy, Adventure || SUBJECT: For the Love of Benji || PREDICATE: instance of || OBJECT: film 
who directed the movie Come Live with Me? Clarence Brown || SUBJECT: Come Live with Me || PREDICATE: director || OBJECT: Clarence Brown 
what film genre is Attack on the Iron Coast? Drama, Action, War || SUBJECT: Attack on the Iron Coast || PREDICATE: instance of || OBJECT: film genre 
what film genre is Attack on the Iron Coast? Drama, Action, War || SUBJECT: Drama || PREDICATE: instance of || OBJECT: film genre 
what film genre is Attack on the Iron Coast? Drama, Action, War || SUBJECT: Action || PREDICATE: instance of || OBJECT: film genre 
what film genre is Attack on the Iron Coast? Drama, Action, War || SUBJECT: War || PREDICATE: instance of || OBJECT: film genre 
who are the actors in Moon of the Wolf? Bradford Dillman, Barbara Rush, David Janssen, John Beradino || SUBJECT: Moon of the Wolf || PREDICATE: cast member || OBJECT: Bradford Dillman 
who are the actors in Moon of the Wolf? Bradford Dillman, Barbara Rush, David Janssen, John Beradino || SUBJECT: Moon of the Wolf || PREDICATE: cast member || OBJECT: Barbara Rush 
who are the actors in Moon of the Wolf? Bradford Dillman, Barbara Rush, David Janssen, John Beradino || SUBJECT: Moon of the Wolf || PREDICATE: cast member || OBJECT: David Janssen 
who are the actors in Moon of the Wolf? Bradford Dillman, Barbara Rush, David Janssen, John Beradino || SUBJECT: Moon of the Wolf || PREDICATE: cast member || OBJECT: John Beradino 
how would people rate 13 Rue Madeleine? good || SUBJECT: 13 Rue Madeleine || PREDICATE: located on street || OBJECT: Rue Madeleine 
who are the actors in High Tension? Cécile De France, Philippe Nahon, Maïwenn, Franck Khalfoun || SUBJECT: High Tension || PREDICATE: cast member || OBJECT: Cécile De France 
who are the actors in High Tension? Cécile De France, Philippe Nahon, Maïwenn, Franck Khalfoun || SUBJECT: High Tension || PREDICATE: cast member || OBJECT: Philippe Nahon 
who are the actors in High Tension? Cécile De France, Philippe Nahon, Maïwenn, Franck Khalfoun || SUBJECT: High Tension || PREDICATE: cast member || OBJECT: Maïwenn 
who are the actors in High Tension? Cécile De France, Philippe Nahon, Maïwenn, Franck Khalfoun || SUBJECT: High Tension || PREDICATE: cast member || OBJECT: Franck Khalfoun 
how popular of a movie was Days of Thunder? famous || SUBJECT: Days of Thunder || PREDICATE: instance of || OBJECT: movie 
what is the rating of A Screaming Man? good || SUBJECT: A Screaming Man || PREDICATE: instance of || OBJECT: good 
how famous was Kind Hearts and Coronets? famous || SUBJECT: Kind Hearts and Coronets || PREDICATE: instance of || OBJECT: famous 
what films did Hubert Cornfield direct? The Night of the Following Day, Pressure Point, The 3rd Voice || SUBJECT: The Night of the Following Day || PREDICATE: director || OBJECT: Hubert Cornfield 
what films did Hubert Cornfield direct? The Night of the Following Day, Pressure Point, The 3rd Voice || SUBJECT: Pressure Point || PREDICATE: director || OBJECT: Hubert Cornfield 
what films did Hubert Cornfield direct? The Night of the Following Day, Pressure Point, The 3rd Voice || SUBJECT: The 3rd Voice || PREDICATE: director || OBJECT: Hubert Cornfield 
which movies can be described by mike leigh? Happy-Go-Lucky, Another Year, Naked, Vera Drake, Mr. Turner, Topsy-Turvy, All or Nothing, Life Is Sweet, Career Girls, High Hopes, Meantime, Bleak Moments, Four Days in July || SUBJECT: Another Year || PREDICATE: cast member || OBJECT: mike leigh 
which movies can be described by mike leigh? Happy-Go-Lucky, Another Year, Naked, Vera Drake, Mr. Turner, Topsy-Turvy, All or Nothing, Life Is Sweet, Career Girls, High Hopes, Meantime, Bleak Moments, Four Days in July || SUBJECT: Naked || PREDICATE: cast member || OBJECT: mike leigh 
which movies can be described by mike leigh? Happy-Go-Lucky, Another Year, Naked, Vera Drake, Mr. Turner, Topsy-Turvy, All or Nothing, Life Is Sweet, Career Girls, High Hopes, Meantime, Bleak Moments, Four Days in July || SUBJECT: Vera Drake || PREDICATE: cast member || OBJECT: mike leigh 
which movies can be described by mike leigh? Happy-Go-Lucky, Another Year, Naked, Vera Drake, Mr. Turner, Topsy-Turvy, All or Nothing, Life Is Sweet, Career Girls, High Hopes, Meantime, Bleak Moments, Four Days in July || SUBJECT: Mr. Turner || PREDICATE: cast member || OBJECT: mike leigh 
which movies can be described by mike leigh? Happy-Go-Lucky, Another Year, Naked, Vera Drake, Mr. Turner, Topsy-Turvy, All or Nothing, Life Is Sweet, Career Girls, High Hopes, Meantime, Bleak Moments, Four Days in July || SUBJECT: Topsy-Turvy || PREDICATE: cast member || OBJECT: mike leigh 
which movies can be described by mike leigh? Happy-Go-Lucky, Another Year, Naked, Vera Drake, Mr. Turner, Topsy-Turvy, All or Nothing, Life Is Sweet, Career Girls, High Hopes, Meantime, Bleak Moments, Four Days in July || SUBJECT: All or Nothing || PREDICATE: cast member || OBJECT: mike leigh 
which movies can be described by mike leigh? Happy-Go-Lucky, Another Year, Naked, Vera Drake, Mr. Turner, Topsy-Turvy, All or Nothing, Life Is Sweet, Career Girls, High Hopes, Meantime, Bleak Moments, Four Days in July || SUBJECT: Life Is Sweet || PREDICATE: cast member || OBJECT: mike leigh 
which movies can be described by mike leigh? Happy-Go-Lucky, Another Year, Naked, Vera Drake, Mr. Turner, Topsy-Turvy, All or Nothing, Life Is Sweet, Career Girls, High Hopes, Meantime, Bleak Moments, Four Days in July || SUBJECT: Career Girls || PREDICATE: cast member || OBJECT: mike leigh 
what does Gil Stratton act in? Girl Crazy || SUBJECT: Girl Crazy || PREDICATE: cast member || OBJECT: Gil Stratton 
what movies was William Wales the writer of? Amityville 3-D || SUBJECT: Amityville 3-D || PREDICATE: screenwriter || OBJECT: William Wales 
what films was Paul Morrison a writer on? Wondrous Oblivion || SUBJECT: Paul Morrison || PREDICATE: notable work || OBJECT: Wondrous Oblivion 
what films was Paul Morrison a writer on? Wondrous Oblivion || SUBJECT: Wondrous Oblivion || PREDICATE: author || OBJECT: Paul Morrison 
when was the film My Favorite Blonde released? 1942 || SUBJECT: My Favorite Blonde || PREDICATE: publication date || OBJECT: 1942 
can you describe movie The Statement in a few words? based on a book, dark, perrot library, nudity || SUBJECT: The Statement || PREDICATE: instance of || OBJECT: movie 
what is the language spoken in the film Hideaway? English || SUBJECT: Hideaway || PREDICATE: original language of film or TV show || OBJECT: English 
what topics is Twice in a Lifetime about? betamax, gene hackman || SUBJECT: Twice in a Lifetime || PREDICATE: main subject || OBJECT: betamax 
which movies can be described by anatole litvak? Sorry, Wrong Number, Anastasia, The Snake Pit, The Night of the Generals, All This, and Heaven Too, Goodbye Again, Decision Before Dawn, City for Conquest, The Amazing Dr. Clitterhouse, The Sisters, The Journey, Out of the Fog, This Above All, Mayerling || SUBJECT: Sorry || PREDICATE: followed by || OBJECT: Anastasia 
which movies can be described by anatole litvak? Sorry, Wrong Number, Anastasia, The Snake Pit, The Night of the Generals, All This, and Heaven Too, Goodbye Again, Decision Before Dawn, City for Conquest, The Amazing Dr. Clitterhouse, The Sisters, The Journey, Out of the Fog, This Above All, Mayerling || SUBJECT: Wrong Number || PREDICATE: followed by || OBJECT: Anastasia 
which movies can be described by anatole litvak? Sorry, Wrong Number, Anastasia, The Snake Pit, The Night of the Generals, All This, and Heaven Too, Goodbye Again, Decision Before Dawn, City for Conquest, The Amazing Dr. Clitterhouse, The Sisters, The Journey, Out of the Fog, This Above All, Mayerling || SUBJECT: Anastasia || PREDICATE: follows || OBJECT: Sorry 
which movies can be described by anatole litvak? Sorry, Wrong Number, Anastasia, The Snake Pit, The Night of the Generals, All This, and Heaven Too, Goodbye Again, Decision Before Dawn, City for Conquest, The Amazing Dr. Clitterhouse, The Sisters, The Journey, Out of the Fog, This Above All, Mayerling || SUBJECT: Anastasia || PREDICATE: followed by || OBJECT: The Snake Pit 
which movies can be described by anatole litvak? Sorry, Wrong Number, Anastasia, The Snake Pit, The Night of the Generals, All This, and Heaven Too, Goodbye Again, Decision Before Dawn, City for Conquest, The Amazing Dr. Clitterhouse, The Sisters, The Journey, Out of the Fog, This Above All, Mayerling || SUBJECT: The Snake Pit || PREDICATE: follows || OBJECT: Anastasia 
